Event	Start	End	Code cours
19135-07	18-10-2021 13:30:00	18-10-2021 15:30:00	PHYS2010-A-a
1915-07	18-10-2021 09:00:00	18-10-2021 11:00:00	COMU0035-A-a
1916-07	18-10-2021 09:00:00	18-10-2021 11:00:00	LROM0201-A-a
1917-07	18-10-2021 10:00:00	18-10-2021 12:00:00	PHIL0035-A-a
1923-07	18-10-2021 11:00:00	18-10-2021 13:00:00	DOCU1456-A-a
1924-07	18-10-2021 09:00:00	18-10-2021 12:00:00	COMU0042-A-a
1925-07	18-10-2021 13:00:00	18-10-2021 14:00:00	LGER0008-A-f
19260-07	18-10-2021 09:00:00	18-10-2021 12:00:00	GEST3030-A-a
1926-07	18-10-2021 13:00:00	18-10-2021 15:00:00	HIST0002-A-a
1927-07	18-10-2021 14:00:00	18-10-2021 16:00:00	HAAR0066-A-a
1936-07	18-10-2021 16:00:00	18-10-2021 19:00:00	PHIL0009-A-a
1937-07	18-10-2021 16:00:00	18-10-2021 19:00:00	LROM0151-A-a
19435-07	18-10-2021 08:45:00	18-10-2021 10:45:00	CHIM0727-A-a
19466-07	18-10-2021 12:00:00	18-10-2021 13:00:00	PHIL0015-A-a
19476-07	18-10-2021 09:00:00	18-10-2021 12:00:00	GEST3041-A-a
19519-07	18-10-2021 14:00:00	18-10-2021 15:30:00	HIST0009-A-c
1994-07	18-10-2021 10:45:00	18-10-2021 12:45:00	CHIM0332-A-b
19950-07	18-10-2021 08:30:00	18-10-2021 10:30:00	PHYS0972-A-a
20079-07	18-10-2021 15:00:00	18-10-2021 17:00:00	GRHO0006-A-b
20480-07	18-10-2021 16:00:00	18-10-2021 19:00:00	STAT1208-A-b
2061-07	18-10-2021 13:30:00	18-10-2021 15:30:00	PSYC0027-A-a
21026-07	18-10-2021 10:00:00	18-10-2021 12:00:00	ASIE0016-A-a
2112-07	18-10-2021 13:30:00	18-10-2021 15:30:00	PSYC0120-A-a
2126-07	18-10-2021 09:00:00	18-10-2021 12:00:00	LANG2971-A-b
2166-07	18-10-2021 12:15:00	18-10-2021 13:15:00	CRIM3097-A-c
2181-07	18-10-2021 13:30:00	18-10-2021 15:30:00	DROI1102-A-a
2182-07	18-10-2021 13:30:00	18-10-2021 16:30:00	SPOL2330-A-b
2183-07	18-10-2021 14:00:00	18-10-2021 16:00:00	DROI1601-B-a
219-07	18-10-2021 18:00:00	18-10-2021 20:00:00	CHIR0257-A-a
2191-07	18-10-2021 08:00:00	18-10-2021 11:00:00	STAT0800-A-a
22243-07	18-10-2021 13:00:00	18-10-2021 15:00:00	HAAR0119-A-a
22279-07	18-10-2021 16:00:00	18-10-2021 18:30:00	DROI2350-A-a
22368-07	18-10-2021 13:30:00	18-10-2021 14:30:00	DROI1284-A-a
2255-07	18-10-2021 10:30:00	18-10-2021 12:30:00	PSYC1010-A-a
22576-07	18-10-2021 13:45:00	18-10-2021 17:45:00	PROJ0010-A-a
22654-07	18-10-2021 09:00:00	18-10-2021 12:00:00	GEST3041-A-a
2268-07	18-10-2021 15:45:00	18-10-2021 17:45:00	PSYC5891-A-a
230-07	18-10-2021 08:15:00	18-10-2021 10:15:00	MATH0069-A-a
2352-07	18-10-2021 11:00:00	18-10-2021 13:00:00	DROI8011-A-d
2355-07	18-10-2021 14:00:00	18-10-2021 17:00:00	ZOOL0205-A-a
23576-07	18-10-2021 15:45:00	18-10-2021 17:15:00	MATH0247-A-b
2364-07	18-10-2021 09:30:00	18-10-2021 12:30:00	ECON2262-A-a
23763-07	18-10-2021 13:30:00	18-10-2021 15:00:00	STER0003-B-b
23787-07	18-10-2021 13:00:00	18-10-2021 15:30:00	ECON0323-A-a
2380-07	18-10-2021 15:30:00	18-10-2021 17:30:00	LANG1908-A-a
2381-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LANG2008-A-a
2382-07	18-10-2021 13:00:00	18-10-2021 14:00:00	LANG1906-A-a
23900-07	18-10-2021 08:00:00	18-10-2021 11:00:00	LOGO0026-A-a
23937-07	18-10-2021 15:30:00	18-10-2021 17:30:00	VETE2071-A-a
2409-07	18-10-2021 14:00:00	18-10-2021 16:00:00	DROI1354-A-a
24105-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LOGO0013-A-a
2414-07	18-10-2021 14:00:00	18-10-2021 16:00:00	DROI0884-A-a
2422-07	18-10-2021 13:30:00	18-10-2021 15:30:00	LANG5001-A-a
24276-07	18-10-2021 10:30:00	18-10-2021 12:30:00	MATH0509-A-a
24279-07	18-10-2021 10:30:00	18-10-2021 12:30:00	MATH0509-A-a
24323-07	18-10-2021 15:30:00	18-10-2021 17:30:00	MATH2007-A-a
2433-07	18-10-2021 16:00:00	18-10-2021 18:30:00	DROI2328-A-a
24387-07	18-10-2021 15:45:00	18-10-2021 17:45:00	CHIM0737-E-a
2440-07	18-10-2021 08:30:00	18-10-2021 11:00:00	SPOL0097-A-a
2444-07	18-10-2021 09:00:00	18-10-2021 12:00:00	LANG1993-A-a
24527-07	18-10-2021 08:30:00	18-10-2021 10:15:00	MATH2007-A-a
246-07	18-10-2021 08:00:00	18-10-2021 12:00:00	DENT1004-E-a
2470-07	18-10-2021 16:00:00	18-10-2021 18:00:00	HISL0542-A-a
2475-07	18-10-2021 15:45:00	18-10-2021 17:45:00	NERF0130-A-e
24817-07	18-10-2021 09:00:00	18-10-2021 12:00:00	CRIM2164-A-a
24831-07	18-10-2021 15:30:00	18-10-2021 17:30:00	MATH2007-A-a
24865-07	18-10-2021 13:30:00	18-10-2021 15:30:00	MATH0059-A-b
24879-07	18-10-2021 16:00:00	18-10-2021 17:00:00	DROI1102-A-a
2488-07	18-10-2021 08:30:00	18-10-2021 12:30:00	SPAT0055-A-a
2489-07	18-10-2021 14:00:00	18-10-2021 16:00:00	SPAT0035-A-a
24905-07	18-10-2021 08:30:00	18-10-2021 12:30:00	GBIO0005-A-a
2502-07	18-10-2021 08:30:00	18-10-2021 10:30:00	BIOL0849-A-a
25371-07	18-10-2021 13:00:00	18-10-2021 15:00:00	PSYC1029-A-a
25479-07	18-10-2021 10:30:00	18-10-2021 12:30:00	MATH0509-A-a
2549-07	18-10-2021 14:30:00	18-10-2021 15:30:00	LANG6008-A-a
2550-07	18-10-2021 10:00:00	18-10-2021 12:00:00	LANG2008-A-a
2553-07	18-10-2021 13:00:00	18-10-2021 16:00:00	MQGE0005-A-d
2568-07	18-10-2021 08:30:00	18-10-2021 11:00:00	DROI2203-A-a
2595-07	18-10-2021 11:00:00	18-10-2021 13:00:00	DROI1304-A-a
26041-07	18-10-2021 13:45:00	18-10-2021 17:45:00	GBIO0027-A-a
26052-07	18-10-2021 10:45:00	18-10-2021 12:45:00	CHIM0286-A-a
2608-07	18-10-2021 16:15:00	18-10-2021 19:15:00	GEST7083-A-a
26100-07	18-10-2021 13:00:00	18-10-2021 14:00:00	LANG2006-A-a
